aircraft_id,tail_number,manufacturer,model,age
74,N331FR,AIRBUS,A320,6
75,N705PS,CANADAIR REGIONAL JET,CRJ,20
76,N469UA,AIRBUS,A320,23
77,N775DE,BOEING,737 NG,11
78,N337PJ,BOEING,737 NG,7
79,N36280,BOEING,737 NG,21
80,N676DL,BOEING,757,32
81,N857RW,EMBRAER,170/175,19
82,N113DQ,AIRBUS,A220,5
83,N479UA,AIRBUS,A320,23
84,N774DE,BOEING,737 NG,12
85,N279JB,EMBRAER,190/195,17
86,N974JT,AIRBUS,A321,8
87,N304RB,BOEING,737 NG,7
88,N883NN,BOEING,737 NG,13
89,N8680C,BOEING,737 NG,8
90,N819NW,AIRBUS,A330,17
91,N325PQ,CANADAIR REGIONAL JET,CRJ,10
92,N583AS,BOEING,737 NG,17
93,N488HA,BOEING,717,26
94,N326NV,AIRBUS,A319,19
95,N281AK,BOEING,737 NG,7
96,N8315C,BOEING,737 NG,12
97,N964NN,BOEING,737 NG,10
98,N297AK,BOEING,737 NG,8
99,N452AN,AIRBUS,A321,2
100,N493WN,BOEING,737 NG,20
101,N115HQ,EMBRAER,170/175,17
102,N245NN,EMBRAER,170/175,8
103,N696NK,AIRBUS,A320,5
104,N66057,BOEING,767,23
105,N415DX,AIRBUS,A330,2
106,N47284,BOEING,737 NG,5
107,N950JT,AIRBUS,A321,9
108,N795UA,BOEING,777,27
109,N209SY,EMBRAER,170/175,7
110,N805AW,AIRBUS,A319,25
111,N817SK,CANADAIR REGIONAL JET,CRJ,17
112,N972UY,AIRBUS,A321,15
113,N2747U,BOEING,777,6
114,N945NK,AIRBUS,A320,3
115,N821NW,AIRBUS,A330,17
116,N318FR,AIRBUS,A320,7
117,N128HQ,EMBRAER,170/175,16
118,N77258,BOEING,737 NG,24
119,N388DN,AIRBUS,A321,5
120,N313PQ,CANADAIR REGIONAL JET,CRJ,10
121,N371DN,AIRBUS,A321,5
122,N8736J,BOEING,737 NG,5
123,N242SY,EMBRAER,170/175,8
124,N894NN,BOEING,737 NG,12
125,N647UA,BOEING,767,32
126,N280NV,AIRBUS,A320,12
127,N129AA,AIRBUS,A321,10
128,N782UA,BOEING,777,27
129,N943NN,BOEING,737 NG,11
130,N377NW,AIRBUS,A320,21
131,N720AN,BOEING,777,11
132,N928XJ,CANADAIR REGIONAL JET,CRJ,16
133,N8776L,BOEING,737 NG,2
134,N856DN,BOEING,737 NG,8
135,N3008J,AIRBUS,A220,4
136,N14214,BOEING,737 NG,26
137,N194NV,AIRBUS,A320,9
138,N282NN,EMBRAER,170/175,5
139,N519NK,AIRBUS,A319,18
140,N193UW,AIRBUS,A321,16
141,N182SY,EMBRAER,170/175,8
142,N376CA,CANADAIR REGIONAL JET,CRJ,21
143,N940WN,BOEING,737 NG,15
144,N824NW,AIRBUS,A330,9
145,N508AE,CANADAIR REGIONAL JET,CRJ,21
146,N897SK,CANADAIR REGIONAL JET,CRJ,17
147,N868AS,CANADAIR REGIONAL JET,CRJ,23
148,N809UA,AIRBUS,A319,26
149,N176DN,BOEING,767,34
150,N349PQ,CANADAIR REGIONAL JET,CRJ,10
151,N433YX,EMBRAER,170/175,10
152,N797AN,BOEING,777,23
153,N216JQ,EMBRAER,170/175,15
154,N762SW,BOEING,737 NG/MAX,24
155,N836UA,AIRBUS,A319,23
156,N954SW,CANADAIR REGIONAL JET,CRJ,21
157,N627JB,AIRBUS,A320,19
158,N943AN,BOEING,737 NG,24
159,N732SW,BOEING,737 NG/MAX,25
160,N126DU,AIRBUS,A220,5
161,N623NK,AIRBUS,A320,11
162,N117HQ,EMBRAER,170/175,17
163,N27292,BOEING,737 NG,2
164,N615UX,EMBRAER,170/175,5
165,N980NN,BOEING,737 NG,9
166,N636RW,EMBRAER,170/175,20
167,N970NN,BOEING,737 NG,9
168,N633JB,AIRBUS,A320,18
169,N275NV,AIRBUS,A320,18
170,N24979,BOEING,787,4
171,N908AE,EMBRAER,135/145,19
172,N246PS,CANADAIR REGIONAL JET,CRJ,20
173,N238AK,BOEING,737 NG,8
174,N518DQ,AIRBUS,A321,2
175,N101DU,AIRBUS,A220,6
176,N582UW,AIRBUS,A321,10
177,N448WN,BOEING,737 NG,21
178,N832UA,AIRBUS,A319,24
179,N913EV,CANADAIR REGIONAL JET,CRJ,21
180,N8965E,CANADAIR REGIONAL JET,CRJ,20
181,N281NN,EMBRAER,170/175,5
182,N8813Q,BOEING,737 NG,4
183,N972JT,AIRBUS,A321,8
184,N444UW,AIRBUS,A321,2
185,N666UA,BOEING,767,26
186,N8567Z,BOEING,737 NG,6
